CiexKey,IdCiex,Ciex,DescCiex,Categoria,Grupo,Capitulo
26,A040,Infeccion debida a Escherichia Coli Enteropatogena,A040 - Infeccion debida a Escherichia Coli Enteropatogena,A04 - OTRAS INFECCIONES INTESTINALES BACTERIANAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
27,A041,Infeccion debida a Escherichia Coli Enterotoxigena,A041 - Infeccion debida a Escherichia Coli Enterotoxigena,A04 - OTRAS INFECCIONES INTESTINALES BACTERIANAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
28,A042,Infeccion debida a Escherichia Coli Enteroinvasiva,A042 - Infeccion debida a Escherichia Coli Enteroinvasiva,A04 - OTRAS INFECCIONES INTESTINALES BACTERIANAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
29,A043,Infeccion debida a Escherichia Coli Enterohemorragica,A043 - Infeccion debida a Escherichia Coli Enterohemorragica,A04 - OTRAS INFECCIONES INTESTINALES BACTERIANAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
30,A044,Otras Infecciones Intestinales debidas a Escherichia Coli,A044 - Otras Infecciones Intestinales debidas a Escherichia Coli,A04 - OTRAS INFECCIONES INTESTINALES BACTERIANAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
31,A045,Enteritis debida a Campylobacter,A045 - Enteritis debida a Campylobacter,A04 - OTRAS INFECCIONES INTESTINALES BACTERIANAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
32,A046,Enteritis debida a Yersinia Enterocolitica,A046 - Enteritis debida a Yersinia Enterocolitica,A04 - OTRAS INFECCIONES INTESTINALES BACTERIANAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
33,A047,Enterocolitis debida a Clostridium difficile,A047 - Enterocolitis debida a Clostridium difficile,A04 - OTRAS INFECCIONES INTESTINALES BACTERIANAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
34,A048,Otras Infecciones Intestinales Bacterianas Especificadas,A048 - Otras Infecciones Intestinales Bacterianas Especificadas,A04 - OTRAS INFECCIONES INTESTINALES BACTERIANAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
35,A049,"Infeccion Intestinal Bacteriana, no Especificada","A049 - Infeccion Intestinal Bacteriana, no Especificada",A04 - OTRAS INFECCIONES INTESTINALES BACTERIANAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
36,A050,Intoxicacion Alimentaria Estafilococica,A050 - Intoxicacion Alimentaria Estafilococica,A05 - OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
37,A051,Botulismo,A051 - Botulismo,A05 - OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
38,A052,Intoxicacion Alimentaria debida a Clostridium Perfringens Clostridium Welchii],A052 - Intoxicacion Alimentaria debida a Clostridium Perfringens Clostridium Welchii],A05 - OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
39,A053,Intoxicacion Alimentaria debida a Vibrio Parahaemolyticus,A053 - Intoxicacion Alimentaria debida a Vibrio Parahaemolyticus,A05 - OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
40,A054,Intoxicacion Alimentaria debida a Bacillus Cereus,A054 - Intoxicacion Alimentaria debida a Bacillus Cereus,A05 - OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
41,A058,Otras Intoxicaciones Alimentarias debidas a Bacterias Especificadas,A058 - Otras Intoxicaciones Alimentarias debidas a Bacterias Especificadas,A05 - OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
42,A059,"Intoxicacion Alimentaria Bacteriana, no Especificada","A059 - Intoxicacion Alimentaria Bacteriana, no Especificada",A05 - OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
43,A060,Disenteria Amebiana Aguda,A060 - Disenteria Amebiana Aguda,A06 - AMEBIASIS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
44,A061,Amebiasis Intestinal Cronica,A061 - Amebiasis Intestinal Cronica,A06 - AMEBIASIS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
45,A062,Colitis Amebiana no disenterica,A062 - Colitis Amebiana no disenterica,A06 - AMEBIASIS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
46,A063,Ameboma Intestinal,A063 - Ameboma Intestinal,A06 - AMEBIASIS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
47,A064,Absceso Amebiano del Higado,A064 - Absceso Amebiano del Higado,A06 - AMEBIASIS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
48,A065,Absceso Amebiano del Pulmon (J99.8*),A065 - Absceso Amebiano del Pulmon (J99.8*),A06 - AMEBIASIS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
49,A066,Absceso Amebiano del Cerebro (G07*),A066 - Absceso Amebiano del Cerebro (G07*),A06 - AMEBIASIS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
50,A067,Amebiasis Cutanea,A067 - Amebiasis Cutanea,A06 - AMEBIASIS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
51,A068,Infeccion Amebiana de otras Localizaciones,A068 - Infeccion Amebiana de otras Localizaciones,A06 - AMEBIASIS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
52,A069,"Amebiasis, no Especificada","A069 - Amebiasis, no Especificada",A06 - AMEBIASIS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
53,A070,Balantidiasis,A070 - Balantidiasis,A07 - OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
54,A071,Giardiasis [Lambliasis],A071 - Giardiasis [Lambliasis],A07 - OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
55,A072,Criptosporidiosis,A072 - Criptosporidiosis,A07 - OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
56,A073,Isosporiasis,A073 - Isosporiasis,A07 - OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
57,A078,Otras Enfermedades Intestinales Especificadas debidas a Protozoarios,A078 - Otras Enfermedades Intestinales Especificadas debidas a Protozoarios,A07 - OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
58,A079,"Enfermedad Intestinal debida a Protozoarios, no Especificada","A079 - Enfermedad Intestinal debida a Protozoarios, no Especificada",A07 - OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
59,A0793,Colitis,A0793 - Colitis,A07 - OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
60,A080,Enteritis debida a Rotavirus,A080 - Enteritis debida a Rotavirus,A08 - INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
61,A081,Gastroenteropatia Aguda debida al Agente de Norwalk,A081 - Gastroenteropatia Aguda debida al Agente de Norwalk,A08 - INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
62,A082,Enteritis debida a Adenovirus,A082 - Enteritis debida a Adenovirus,A08 - INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
63,A083,Otras Enteritis Virales,A083 - Otras Enteritis Virales,A08 - INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
64,A084,"Infeccion Intestinal Viral, sin otra Especificacion","A084 - Infeccion Intestinal Viral, sin otra Especificacion",A08 - INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
65,A085,Otras Infecciones Intestinales Especificadas,A085 - Otras Infecciones Intestinales Especificadas,A08 - INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICA,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
66,A090,Otras gastroenteritis y colitis no especificadas de origen infeccioso,A090 - Otras gastroenteritis y colitis no especificadas de origen infeccioso,A09 - OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
67,A099,Gastroenteritis y colitis de origen no especificada,A099 - Gastroenteritis y colitis de origen no especificada,A09 - OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
68,A09X,Infecciones Intestinales debidas a otros Organismos sin Especificar,A09X - Infecciones Intestinales debidas a otros Organismos sin Especificar,A09 - OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
69,A09X0,"Diarrea Acuosa Incluye Colitis, Enteritis, Genterocolitis, Gastroenteritis, Gastroentero","A09X0 - Diarrea Acuosa Incluye Colitis, Enteritis, Genterocolitis, Gastroenteritis, Gastroentero",A09 - OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
70,A09X1,Enfermedad Diarreica Acuosa sin deshidratacion,A09X1 - Enfermedad Diarreica Acuosa sin deshidratacion,A09 - OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
71,A09X2,Enfermedad Diarreica Acuosa con deshidratacion,A09X2 - Enfermedad Diarreica Acuosa con deshidratacion,A09 - OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
72,A09X3,Enfermedad Diarreica Acuosa con deshidratacion con Shock,A09X3 - Enfermedad Diarreica Acuosa con deshidratacion con Shock,A09 - OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
73,A09X4,Enfermedad Diarreica disenterica sin deshidratacion,A09X4 - Enfermedad Diarreica disenterica sin deshidratacion,A09 - OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
74,A09X5,Enfermedad Diarreica disenterica con deshidratacion,A09X5 - Enfermedad Diarreica disenterica con deshidratacion,A09 - OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
75,A09X6,Enfermedad Diarreica Persistente,A09X6 - Enfermedad Diarreica Persistente,A09 - OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
76,A09X7,Diarrea Disenterica,A09X7 - Diarrea Disenterica,A09 - OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
77,A09X8,Enfermedad Diarreica disenterica con Deshidratacion con Shock,A09X8 - Enfermedad Diarreica disenterica con Deshidratacion con Shock,A09 - OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,(A00 - A09) ENFERMEDADES INFECCIOSAS INTESTINALES,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
78,A150,TBC Pulmonar  Bk (+),A150 - TBC Pulmonar  Bk (+),"A15 - TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENT",(A15 - A19) TUBERCULOSIS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
79,A151,TBC Pulmonar Solo Cultivo Positivo,A151 - TBC Pulmonar Solo Cultivo Positivo,"A15 - TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENT",(A15 - A19) TUBERCULOSIS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
80,A152,"Tuberculosis del Pulmon, Confirmada Histologicamente","A152 - Tuberculosis del Pulmon, Confirmada Histologicamente","A15 - TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENT",(A15 - A19) TUBERCULOSIS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
81,A153,"TBC Pulmonar, Confirmada por Medios no Especificados","A153 - TBC Pulmonar, Confirmada por Medios no Especificados","A15 - TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENT",(A15 - A19) TUBERCULOSIS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
82,A154,"Tuberculosis de Ganglios Linfaticos Intratoracicos, Confirmada Bacteriologica e Histolog","A154 - Tuberculosis de Ganglios Linfaticos Intratoracicos, Confirmada Bacteriologica e Histolog","A15 - TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENT",(A15 - A19) TUBERCULOSIS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
83,A155,"Tuberculosis de Laringe, Traquea y Bronquios, Confirmada Bacteriologica e Histologicamen","A155 - Tuberculosis de Laringe, Traquea y Bronquios, Confirmada Bacteriologica e Histologicamen","A15 - TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENT",(A15 - A19) TUBERCULOSIS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
84,A156,"Pleuresia Tuberculosa, Confirmada Bacteriologica e Histologicamente","A156 - Pleuresia Tuberculosa, Confirmada Bacteriologica e Histologicamente","A15 - TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENT",(A15 - A19) TUBERCULOSIS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
85,A157,"Tuberculosis Respiratoria Primaria, Confirmada Bacteriologica e Histologicamente","A157 - Tuberculosis Respiratoria Primaria, Confirmada Bacteriologica e Histologicamente","A15 - TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENT",(A15 - A19) TUBERCULOSIS,CAPITULO I: CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
